,0,1,2,deviation
525,0.7,2.7,1.1,2.1
526,0.7,2.7,1.3,2.3
527,0.7,2.7,1.5,2.5
528,0.7,2.7,1.7,2.7
529,0.7,2.7,1.9,2.9
530,0.7,2.7,2.1,3.1
531,0.7,2.7,2.3,3.3
532,0.7,2.7,2.5,3.5
533,0.7,2.7,2.7,3.7
534,0.7,2.7,2.9,3.9
535,0.7,2.7,3.1,4.1
536,0.7,2.7,3.3,4.3
537,0.7,2.7,3.5,4.5
538,0.7,2.7,3.7,4.7
539,0.7,2.7,3.9,4.9
540,0.7,2.9,0.5,2.7
541,0.7,2.9,0.7,2.5
542,0.7,2.9,0.9,2.3000000000000003
543,0.7,2.9,1.1,2.3000000000000003
544,0.7,2.9,1.3,2.5
545,0.7,2.9,1.5,2.7
546,0.7,2.9,1.7,2.9000000000000004
547,0.7,2.9,1.9,3.1
548,0.7,2.9,2.1,3.3000000000000003
549,0.7,2.9,2.3,3.5
550,0.7,2.9,2.5,3.7
551,0.7,2.9,2.7,3.9000000000000004
552,0.7,2.9,2.9,4.1
553,0.7,2.9,3.1,4.300000000000001
554,0.7,2.9,3.3,4.5
555,0.7,2.9,3.5,4.7
556,0.7,2.9,3.7,4.9
557,0.7,2.9,3.9,5.1
558,0.7,3.1,0.5,2.9000000000000004
559,0.7,3.1,0.7,2.7
560,0.7,3.1,0.9,2.5000000000000004
561,0.7,3.1,1.1,2.5000000000000004
562,0.7,3.1,1.3,2.7
563,0.7,3.1,1.5,2.9000000000000004
564,0.7,3.1,1.7,3.1000000000000005
565,0.7,3.1,1.9,3.3000000000000003
566,0.7,3.1,2.1,3.5000000000000004
567,0.7,3.1,2.3,3.7
568,0.7,3.1,2.5,3.9000000000000004
569,0.7,3.1,2.7,4.1000000000000005
570,0.7,3.1,2.9,4.300000000000001
571,0.7,3.1,3.1,4.5
572,0.7,3.1,3.3,4.7
573,0.7,3.1,3.5,4.9
574,0.7,3.1,3.7,5.1000000000000005
575,0.7,3.1,3.9,5.300000000000001
576,0.7,3.3,0.5,3.0999999999999996
577,0.7,3.3,0.7,2.8999999999999995
578,0.7,3.3,0.9,2.6999999999999997
579,0.7,3.3,1.1,2.6999999999999997
580,0.7,3.3,1.3,2.8999999999999995
581,0.7,3.3,1.5,3.0999999999999996
582,0.7,3.3,1.7,3.3
583,0.7,3.3,1.9,3.4999999999999996
584,0.7,3.3,2.1,3.6999999999999997
585,0.7,3.3,2.3,3.8999999999999995
586,0.7,3.3,2.5,4.1
587,0.7,3.3,2.7,4.3
588,0.7,3.3,2.9,4.5
589,0.7,3.3,3.1,4.699999999999999
590,0.7,3.3,3.3,4.8999999999999995
591,0.7,3.3,3.5,5.1
592,0.7,3.3,3.7,5.3
593,0.7,3.3,3.9,5.5
594,0.7,3.5,0.5,3.3
595,0.7,3.5,0.7,3.0999999999999996
596,0.7,3.5,0.9,2.9
597,0.7,3.5,1.1,2.9
598,0.7,3.5,1.3,3.0999999999999996
599,0.7,3.5,1.5,3.3
600,0.7,3.5,1.7,3.5
601,0.7,3.5,1.9,3.6999999999999997
602,0.7,3.5,2.1,3.9
603,0.7,3.5,2.3,4.1
604,0.7,3.5,2.5,4.3
605,0.7,3.5,2.7,4.5
606,0.7,3.5,2.9,4.699999999999999
607,0.7,3.5,3.1,4.9
608,0.7,3.5,3.3,5.1
609,0.7,3.5,3.5,5.3
610,0.7,3.5,3.7,5.5
611,0.7,3.5,3.9,5.699999999999999
612,0.7,3.7,0.5,3.5
613,0.7,3.7,0.7,3.3
614,0.7,3.7,0.9,3.1
615,0.7,3.7,1.1,3.1
616,0.7,3.7,1.3,3.3
617,0.7,3.7,1.5,3.5
618,0.7,3.7,1.7,3.7
619,0.7,3.7,1.9,3.9
620,0.7,3.7,2.1,4.1
621,0.7,3.7,2.3,4.3
622,0.7,3.7,2.5,4.5
623,0.7,3.7,2.7,4.7
624,0.7,3.7,2.9,4.9
625,0.7,3.7,3.1,5.1
626,0.7,3.7,3.3,5.3
627,0.7,3.7,3.5,5.5
628,0.7,3.7,3.7,5.7
629,0.7,3.7,3.9,5.9
630,0.7,3.9,0.5,3.7
631,0.7,3.9,0.7,3.5
632,0.7,3.9,0.9,3.3000000000000003
633,0.7,3.9,1.1,3.3000000000000003
634,0.7,3.9,1.3,3.5
635,0.7,3.9,1.5,3.7
636,0.7,3.9,1.7,3.9000000000000004
637,0.7,3.9,1.9,4.1
638,0.7,3.9,2.1,4.300000000000001
639,0.7,3.9,2.3,4.5
640,0.7,3.9,2.5,4.7
641,0.7,3.9,2.7,4.9
642,0.7,3.9,2.9,5.1
643,0.7,3.9,3.1,5.300000000000001
644,0.7,3.9,3.3,5.5
645,0.7,3.9,3.5,5.7
646,0.7,3.9,3.7,5.9
647,0.7,3.9,3.9,6.1
648,0.9,0.5,0.5,1.1
649,0.9,0.5,0.7,0.9
650,0.9,0.5,0.9,0.7
651,0.9,0.5,1.1,0.7000000000000001
