,Unnamed: 0,0,1,2,deviation,strategy_prediction
1605,1605,1.3,3.9,1.1,3.3000000000000003,True
565,565,0.7,3.1,1.9,3.3000000000000003,True
664,664,0.9,0.5,3.7,3.3000000000000003,True
1384,1384,1.3,1.3,3.7,3.3000000000000003,True
890,890,0.9,3.1,2.1,3.3000000000000003,True
358,358,0.7,0.7,3.7,3.3000000000000003,True
155,155,0.5,2.1,2.7,3.3000000000000003,True
941,941,0.9,3.7,1.5,3.3000000000000003,True
412,412,0.7,1.3,3.7,3.3000000000000003,True
206,206,0.5,2.7,2.1,3.3000000000000003,True
1214,1214,1.1,3.1,2.1,3.3000000000000003,True
772,772,0.9,1.7,3.7,3.5,True
156,156,0.5,2.1,2.9,3.5,True
241,241,0.5,3.1,1.9,3.5,True
308,308,0.5,3.9,0.9,3.5,True
447,447,0.7,1.7,3.5,3.5,True
309,309,0.5,3.9,1.1,3.5,True
430,430,0.7,1.5,3.7,3.5,True
340,340,0.7,0.5,3.7,3.5,True
275,275,0.5,3.5,1.5,3.5,True
1312,1312,1.3,0.5,3.7,3.5,True
1079,1079,1.1,1.5,3.9,3.5,True
755,755,0.9,1.5,3.9,3.5,True
413,413,0.7,1.3,3.9,3.5,True
942,942,0.9,3.7,1.7,3.5,True
359,359,0.7,0.7,3.9,3.5,True
53,53,0.5,0.9,3.9,3.5,True
1572,1572,1.3,3.5,1.7,3.5,True
1555,1555,1.3,3.3,1.9,3.5,True
1996,1996,1.7,0.9,3.7,3.5,True
823,823,0.9,2.3,3.1,3.5,True
806,806,0.9,2.1,3.3,3.5,True
1402,1402,1.3,1.5,3.7,3.5,True
122,122,0.5,1.7,3.3,3.5,True
1419,1419,1.3,1.7,3.5,3.5,True
2014,2014,1.7,1.1,3.7,3.5,True
105,105,0.5,1.5,3.5,3.5,True
908,908,0.9,3.3,2.1,3.5,True
1436,1436,1.3,1.9,3.3,3.5,True
88,88,0.5,1.3,3.7,3.5,True
1453,1453,1.3,2.1,3.1,3.5,True
1283,1283,1.1,3.9,1.5,3.5,True
891,891,0.9,3.1,2.3,3.5,True
1385,1385,1.3,1.3,3.9,3.5,True
1470,1470,1.3,2.3,2.9,3.5,True
959,959,0.9,3.9,1.5,3.5,True
789,789,0.9,1.9,3.5,3.5,True
173,173,0.5,2.3,2.7,3.5,True
1487,1487,1.3,2.5,2.7,3.5,True
874,874,0.9,2.9,2.5,3.5,True
289,289,0.5,3.7,0.7,3.5,True
989,989,1.1,0.5,3.9,3.5,True
1504,1504,1.3,2.7,2.5,3.5,True
1249,1249,1.1,3.5,1.9,3.5,True
292,292,0.5,3.7,1.3,3.5,True
1198,1198,1.1,2.9,2.5,3.5,True
840,840,0.9,2.5,2.9,3.5,True
1521,1521,1.3,2.9,2.3,3.5,True
258,258,0.5,3.3,1.7,3.5,True
925,925,0.9,3.5,1.9,3.5,True
139,139,0.5,1.9,3.1,3.5,True
1266,1266,1.1,3.7,1.7,3.5,True
71,71,0.5,1.1,3.9,3.5,True
532,532,0.7,2.7,2.5,3.5,True
1331,1331,1.3,0.7,3.9,3.5,True
1232,1232,1.1,3.3,2.1,3.5,True
1164,1164,1.1,2.5,2.9,3.5,True
1654,1654,1.5,0.7,3.7,3.5,True
34,34,0.5,0.7,3.7,3.5,True
515,515,0.7,2.5,2.7,3.5,True
617,617,0.7,3.7,1.5,3.5,True
1673,1673,1.5,0.9,3.9,3.5,True
1691,1691,1.5,1.1,3.9,3.5,True
1130,1130,1.1,2.1,3.3,3.5,True
1708,1708,1.5,1.3,3.7,3.5,True
15,15,0.5,0.5,3.5,3.5,True
1776,1776,1.5,2.1,2.9,3.5,True
1725,1725,1.5,1.5,3.5,3.5,True
1147,1147,1.1,2.3,3.1,3.5,True
583,583,0.7,3.3,1.9,3.5,True
207,207,0.5,2.7,2.3,3.5,True
600,600,0.7,3.5,1.7,3.5,True
498,498,0.7,2.3,2.9,3.5,True
464,464,0.7,1.9,3.3,3.5,True
1759,1759,1.5,1.9,3.1,3.5,True
1215,1215,1.1,3.1,2.3,3.5,True
190,190,0.5,2.5,2.5,3.5,True
1742,1742,1.5,1.7,3.3,3.5,True
1606,1606,1.3,3.9,1.3,3.5,True
634,634,0.7,3.9,1.3,3.5,True
1589,1589,1.3,3.7,1.5,3.5,True
631,631,0.7,3.9,0.7,3.5,True
481,481,0.7,2.1,3.1,3.5,True
1096,1096,1.1,1.7,3.7,3.5,True
549,549,0.7,2.9,2.3,3.5,True
665,665,0.9,0.5,3.9,3.5,True
224,224,0.5,2.9,2.1,3.5,True
1113,1113,1.1,1.9,3.5,3.5,True
857,857,0.9,2.7,2.7,3.5000000000000004,True
1538,1538,1.3,3.1,2.1,3.5000000000000004,True
1181,1181,1.1,2.7,2.7,3.5000000000000004,True
566,566,0.7,3.1,2.1,3.5000000000000004,True
1777,1777,1.5,2.1,3.1,3.7,True
892,892,0.9,3.1,2.5,3.7,True
943,943,0.9,3.7,1.9,3.7,True
140,140,0.5,1.9,3.3,3.7,True
1148,1148,1.1,2.3,3.3,3.7,True
1284,1284,1.1,3.9,1.7,3.7,True
1471,1471,1.3,2.3,3.1,3.7,True
584,584,0.7,3.3,2.1,3.7,True
1313,1313,1.3,0.5,3.9,3.7,True
1760,1760,1.5,1.9,3.3,3.7,True
1488,1488,1.3,2.5,2.9,3.7,True
1199,1199,1.1,2.9,2.7,3.7,True
533,533,0.7,2.7,2.7,3.7,True
875,875,0.9,2.9,2.7,3.7,True
157,157,0.5,2.1,3.1,3.7,True
208,208,0.5,2.7,2.5,3.7,True
288,288,0.5,3.7,0.5,3.7,True
1454,1454,1.3,2.1,3.3,3.7,True
1862,1862,1.5,3.1,2.1,3.7,True
191,191,0.5,2.5,2.7,3.7,True
89,89,0.5,1.3,3.9,3.7,True
960,960,0.9,3.9,1.7,3.7,True
123,123,0.5,1.7,3.5,3.7,True
550,550,0.7,2.9,2.5,3.7,True
926,926,0.9,3.5,2.1,3.7,True
1828,1828,1.5,2.7,2.5,3.7,True
276,276,0.5,3.5,1.7,3.7,True
1165,1165,1.1,2.5,3.1,3.7,True
1403,1403,1.3,1.5,3.9,3.7,True
1997,1997,1.7,0.9,3.9,3.7,True
106,106,0.5,1.5,3.7,3.7,True
1794,1794,1.5,2.3,2.9,3.7,True
